Topic,Time,ConsumerCount
topic_priority,12:06:51.593,1
topic_priority,12:06:59.941,2
topic_priority,12:07:05.492,3
topic_priority,12:07:06.005,4
topic_priority,12:07:06.514,5
topic_priority,12:07:07.025,6
topic_priority,12:07:07.533,7
topic_priority,12:07:13.597,12
topic_priority,12:07:14.106,13
topic_priority,12:07:14.610,14
topic_priority,12:07:15.114,15
topic_priority,12:07:15.618,16
topic_priority,12:07:21.165,17
topic_priority,12:07:21.670,18
topic_priority,12:07:22.181,19
topic_priority,12:07:22.683,20
topic_priority,12:07:23.192,21
topic_priority,12:07:25.701,22
topic_priority,12:07:26.208,23
topic_priority,12:07:26.711,24
topic_priority,12:07:27.220,25
topic_priority,12:07:27.728,26
topic_priority,12:07:33.787,27
topic_priority,12:07:34.291,28
topic_priority,12:07:34.794,29
topic_priority,12:07:35.296,30
topic_priority,12:07:35.807,31
topic_priority,12:07:36.315,32
topic_priority,12:07:41.343,33
topic_priority,12:07:41.849,34
topic_priority,12:07:42.360,35
topic_priority,12:07:42.865,36
topic_priority,12:07:43.374,37
topic_priority,12:07:43.877,38
topic_priority,12:07:50.942,39
topic_priority,12:07:51.452,40
topic_priority,12:07:51.955,41
topic_priority,12:07:52.466,42
topic_priority,12:07:52.977,43
topic_priority,12:07:53.485,44
topic_priority,12:07:53.991,45
topic_priority,12:08:00.549,46
topic_priority,12:08:01.063,47
topic_priority,12:08:01.574,48
topic_priority,12:08:02.084,49
topic_priority,12:08:02.589,50
topic_priority,12:08:03.096,51
topic_priority,12:08:09.639,52
topic_priority,12:08:10.142,53
topic_priority,12:08:10.647,54
topic_priority,12:08:11.151,55
topic_priority,12:08:11.652,56
topic_priority,12:08:12.155,57
topic_priority,12:08:18.712,58
topic_priority,12:08:19.214,59
topic_priority,12:08:19.726,60
topic_priority,12:08:20.226,61
topic_priority,12:08:20.736,62
topic_priority,12:08:21.242,63
topic_priority,12:08:21.743,64
topic_priority,12:08:22.256,65
topic_priority,12:08:22.763,66
topic_priority,12:08:23.271,67
topic_priority,12:08:25.794,68
topic_priority,12:08:26.299,69
topic_priority,12:08:26.801,70
topic_priority,12:08:27.308,71
topic_priority,12:08:27.813,72
topic_priority,12:08:28.320,73
topic_priority,12:08:28.821,74
topic_priority,12:08:29.325,75
topic_priority,12:08:29.829,76
topic_priority,12:08:30.330,77
topic_priority,12:08:30.839,78
topic_priority,12:08:31.341,79
topic_priority,12:08:31.843,80
topic_priority,12:08:38.884,81
topic_priority,12:08:39.397,82
topic_priority,12:08:39.899,83
topic_priority,12:08:40.413,84
topic_priority,12:08:40.919,85
topic_priority,12:08:41.432,86
topic_priority,12:08:41.932,87
topic_priority,12:08:46.472,88
topic_priority,12:08:46.971,89
topic_priority,12:08:47.478,90
topic_priority,12:08:47.986,91
topic_priority,12:08:48.494,92
topic_priority,12:08:49.000,93
topic_priority,12:08:49.509,94
topic_priority,12:08:50.014,95
topic_priority,12:08:59.576,96
topic_priority,12:09:00.080,97
topic_priority,12:09:00.588,98
topic_priority,12:09:01.092,99
topic_priority,12:09:01.594,100
topic_priority,12:09:02.101,101
topic_priority,12:09:02.605,102
topic_priority,12:09:03.117,103
topic_priority,12:09:03.616,104
topic_priority,12:09:08.135,105
topic_priority,12:09:08.638,106
topic_priority,12:09:09.143,107
topic_priority,12:09:09.648,108
topic_priority,12:09:10.152,109
topic_priority,12:09:10.660,110
topic_priority,12:09:11.167,111
topic_priority,12:09:11.669,112
topic_priority,12:09:12.180,113
topic_priority,12:09:19.724,114
topic_priority,12:09:20.226,115
topic_priority,12:09:20.734,116
topic_priority,12:09:21.237,117
topic_priority,12:09:21.740,118
topic_priority,12:09:22.245,119
topic_priority,12:09:22.753,120
topic_priority,12:09:23.255,121
topic_priority,12:09:23.757,122
topic_priority,12:09:24.261,123
topic_priority,12:09:28.791,124
topic_priority,12:09:29.299,125
topic_priority,12:09:29.804,126
topic_priority,12:09:30.308,127
topic_priority,12:09:30.815,128
topic_priority,12:09:31.316,129
topic_priority,12:09:31.818,130
topic_priority,12:09:32.325,131
topic_priority,12:09:32.830,132
topic_priority,12:09:33.331,133
topic_priority,12:09:33.841,134
topic_priority,12:09:40.900,135
topic_priority,12:09:41.407,136
topic_priority,12:09:41.914,137
topic_priority,12:09:42.422,138
topic_priority,12:09:42.922,139
topic_priority,12:09:43.424,140
topic_priority,12:09:43.927,141
topic_priority,12:09:44.432,142
topic_priority,12:09:44.936,143
topic_priority,12:09:45.438,144
topic_priority,12:09:45.950,145
topic_priority,12:09:56.021,146
topic_priority,12:09:56.530,147
topic_priority,12:09:57.037,148
topic_priority,12:10:02.069,154
topic_priority,12:10:02.577,155
topic_priority,12:10:03.079,156
topic_priority,12:10:03.581,157
topic_priority,12:10:04.083,158
topic_priority,12:10:04.585,159
topic_priority,12:10:05.092,160
topic_priority,12:10:05.595,161
topic_priority,12:10:06.100,162
topic_priority,12:10:06.601,163
topic_priority,12:10:07.106,164
topic_priority,12:10:14.673,165
topic_priority,12:10:15.174,166
topic_priority,12:10:15.684,167
topic_priority,12:10:16.194,168
topic_priority,12:10:16.694,169
topic_priority,12:10:17.197,170
topic_priority,12:10:17.705,171
topic_priority,12:10:18.212,172
topic_priority,12:10:18.717,173
topic_priority,12:10:19.223,174
topic_priority,12:10:19.730,175
topic_priority,12:10:20.230,176
topic_priority,12:10:20.739,177
topic_priority,12:10:26.782,178
topic_priority,12:10:27.289,179
topic_priority,12:10:27.797,180
topic_priority,12:10:28.297,181
topic_priority,12:10:28.803,182
topic_priority,12:10:29.306,183
topic_priority,12:10:29.810,184
topic_priority,12:10:30.317,185
topic_priority,12:10:30.821,186
topic_priority,12:10:31.328,187
topic_priority,12:10:31.829,188
topic_priority,12:10:32.339,189
topic_priority,12:10:32.850,190
topic_priority,12:10:33.356,191
topic_priority,12:10:33.868,192
topic_priority,12:10:34.369,193
topic_priority,12:10:34.874,194
topic_priority,12:10:35.376,195
topic_priority,12:10:35.887,196
topic_priority,12:10:38.399,197
topic_priority,12:10:38.909,198
topic_priority,12:10:39.414,199
topic_priority,12:10:39.915,200
topic_normal,12:06:53.601,1
topic_normal,12:06:57.413,2
topic_normal,12:06:57.926,3
topic_normal,12:06:58.436,4
topic_normal,12:06:58.946,5
topic_normal,12:06:59.456,6
topic_normal,12:06:59.959,7
topic_normal,12:07:00.463,8
topic_normal,12:07:00.973,9
topic_normal,12:07:01.476,10
topic_normal,12:07:01.986,11
topic_normal,12:07:02.488,12
topic_normal,12:07:02.995,13
topic_normal,12:07:03.497,14
topic_normal,12:07:04.002,15
topic_normal,12:07:04.505,16
topic_normal,12:07:05.011,17
topic_normal,12:07:20.655,18
topic_normal,12:07:29.237,24
topic_normal,12:07:29.746,25
topic_normal,12:07:30.246,26
topic_normal,12:07:30.759,27
topic_normal,12:07:35.292,28
topic_normal,12:07:35.803,29
topic_normal,12:07:36.311,30
topic_normal,12:07:36.813,31
topic_normal,12:07:37.318,32
topic_normal,12:07:37.822,33
topic_normal,12:07:38.334,34
topic_normal,12:07:38.841,35
topic_normal,12:07:39.345,36
topic_normal,12:07:39.849,37
topic_normal,12:07:40.354,38
topic_normal,12:07:44.882,39
topic_normal,12:07:45.389,40
topic_normal,12:07:45.900,41
topic_normal,12:07:46.410,42
topic_normal,12:07:46.911,43
topic_normal,12:07:47.419,44
topic_normal,12:07:47.927,45
topic_normal,12:07:48.436,46
topic_normal,12:07:48.944,47
topic_normal,12:07:49.453,48
topic_normal,12:07:53.986,49
topic_normal,12:07:54.496,50
topic_normal,12:07:54.999,51
topic_normal,12:07:55.504,52
topic_normal,12:07:56.022,53
topic_normal,12:07:56.531,54
topic_normal,12:07:57.033,55
topic_normal,12:07:57.542,56
topic_normal,12:07:58.048,57
topic_normal,12:07:58.549,58
topic_normal,12:08:03.089,62
topic_normal,12:08:03.596,63
topic_normal,12:08:04.105,64
topic_normal,12:08:04.610,65
topic_normal,12:08:05.113,66
topic_normal,12:08:05.616,67
topic_normal,12:08:06.120,68
topic_normal,12:08:06.622,69
topic_normal,12:08:07.127,70
topic_normal,12:08:07.632,71
topic_normal,12:08:12.150,73
topic_normal,12:08:12.655,74
topic_normal,12:08:13.158,75
topic_normal,12:08:13.664,76
topic_normal,12:08:14.167,77
topic_normal,12:08:14.679,78
topic_normal,12:08:15.178,79
topic_normal,12:08:15.691,80
topic_normal,12:08:16.197,81
topic_normal,12:08:16.698,82
topic_normal,12:08:20.732,83
topic_normal,12:08:21.240,84
topic_normal,12:08:21.742,85
topic_normal,12:08:22.253,86
topic_normal,12:08:22.759,87
topic_normal,12:08:23.269,88
topic_normal,12:08:23.780,89
topic_normal,12:08:28.811,92
topic_normal,12:08:29.315,93
topic_normal,12:08:29.822,94
topic_normal,12:08:30.324,95
topic_normal,12:08:30.833,96
topic_normal,12:08:31.340,97
topic_normal,12:08:31.842,98
topic_normal,12:08:32.352,99
topic_normal,12:08:32.858,100
topic_normal,12:08:33.368,101
topic_normal,12:08:33.875,102
topic_normal,12:08:34.381,103
topic_normal,12:08:34.888,104
topic_normal,12:08:35.390,105
topic_normal,12:08:35.901,106
topic_normal,12:08:43.444,109
topic_normal,12:08:43.950,110
topic_normal,12:08:44.455,111
topic_normal,12:08:44.958,112
topic_normal,12:08:45.466,113
topic_normal,12:08:45.977,114
topic_normal,12:08:46.487,115
topic_normal,12:08:46.990,116
topic_normal,12:08:47.494,117
topic_normal,12:08:48.002,118
topic_normal,12:08:52.527,121
topic_normal,12:08:53.030,122
topic_normal,12:08:53.540,123
topic_normal,12:08:54.045,124
topic_normal,12:08:54.546,125
topic_normal,12:08:55.051,126
topic_normal,12:08:55.556,127
topic_normal,12:08:56.068,128
topic_normal,12:08:56.569,129
topic_normal,12:08:57.073,130
topic_normal,12:08:57.575,131
topic_normal,12:09:03.604,132
topic_normal,12:09:04.110,133
topic_normal,12:09:04.614,134
topic_normal,12:09:05.116,135
topic_normal,12:09:05.622,136
topic_normal,12:09:06.131,137
topic_normal,12:09:06.631,138
topic_normal,12:09:07.138,139
topic_normal,12:09:07.641,140
topic_normal,12:09:08.142,141
topic_normal,12:09:08.645,142
topic_normal,12:09:13.675,143
topic_normal,12:09:14.182,144
topic_normal,12:09:14.692,145
topic_normal,12:09:15.194,146
topic_normal,12:09:15.704,147
topic_normal,12:09:16.205,148
topic_normal,12:09:16.707,149
topic_normal,12:09:17.210,150
topic_normal,12:09:17.712,151
topic_normal,12:09:18.216,152
topic_normal,12:09:18.719,153
topic_normal,12:09:23.249,154
topic_normal,12:09:23.753,155
topic_normal,12:09:24.257,156
topic_normal,12:09:24.768,157
topic_normal,12:09:25.269,158
topic_normal,12:09:25.776,159
topic_normal,12:09:26.281,160
topic_normal,12:09:26.785,161
topic_normal,12:09:27.288,162
topic_normal,12:09:27.799,163
topic_normal,12:09:28.300,164
topic_normal,12:09:33.327,165
topic_normal,12:09:33.837,166
topic_normal,12:09:34.346,167
topic_normal,12:09:34.847,168
topic_normal,12:09:35.355,169
topic_normal,12:09:35.862,170
topic_normal,12:09:36.371,171
topic_normal,12:09:36.874,172
topic_normal,12:09:37.380,173
topic_normal,12:09:37.884,174
topic_normal,12:09:38.394,175
topic_normal,12:09:42.918,176
topic_normal,12:09:43.421,177
topic_normal,12:09:43.925,178
topic_normal,12:09:44.434,179
topic_normal,12:09:44.935,180
topic_normal,12:09:45.439,181
topic_normal,12:09:45.947,182
topic_normal,12:09:46.450,183
topic_normal,12:09:46.954,184
topic_normal,12:09:47.455,185
topic_normal,12:09:47.964,186
topic_normal,12:09:51.484,187
topic_normal,12:09:51.993,188
topic_normal,12:09:52.494,189
topic_normal,12:09:53.004,190
topic_normal,12:09:53.507,191
topic_normal,12:09:54.016,192
topic_normal,12:09:54.523,193
topic_normal,12:09:55.026,194
topic_normal,12:09:59.557,195
topic_normal,12:10:00.059,196
topic_normal,12:10:00.562,197
topic_normal,12:10:01.069,198
topic_normal,12:10:01.571,199
topic_normal,12:10:02.074,200
